© 2000-2023 QIAGEN. All rights reserved.				
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Glycine Biosynthesis I	0.66	0.5	#NUM!	SHMT2
Glutamine Degradation I	0.66	0.5	#NUM!	GLS2
Chondroitin Sulfate Biosynthesis (Late Stages)	0.656	0.16	0.707	"CHPF,CHST12,CHST4,CHST5,NDST1,SULT1A2,SULT1A3/SULT1A4,SULT2B1"
Cysteine Biosynthesis III (mammalia)	0.656	0.179	1.342	"AHCYL2,EEF1AKMT4,FTSJ1,MRM2,SUV39H2"
FAT10 Cancer Signaling Pathway	0.656	0.16	0.378	"AKT3,CHUK,MAD2L1,NGFR,TCF7L2,TGFB1,TNFRSF1B,TP53"
Valine Degradation I	0.652	0.19	#NUM!	"ACAD8,ECHDC3,HIBCH,SDS"
Death Receptor Signaling	0.652	0.146	3.742	"ACTB,CASP2,CHUK,DAXX,HSPB7,LMNA,MAP4K4,PARP10,PARP12,PARP16,TNFRSF10A,TNFRSF10B,TNFRSF1B,TNFRSF21"
Oxytocin In Brain Signaling Pathway	0.648	0.136	3.272	"AKT3,ATF2,CREB3L4,GNB1,GNB1L,GNB3,GNG11,GNG4,IL1B,ITPR2,ITPR3,LCAT,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PLCB3,PNPLA8,PRKCE,PRKCG,PRKCI,PTGS2,RAP1A,RAP1B,RAP2A,RRAS"
HMGB1 Signaling	0.648	0.138	2.985	"AKT3,ELK1,FOS,HAT1,IFNGR1,IL18,IL1B,IL33,JUN,MAP2K3,MAP2K6,NGFR,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,TGFB1,TNFRSF1B"
Sphingosine-1-phosphate Signaling	0.64	0.142	1	"ADCY3,AKT3,ASAH2,CASP14,CASP2,CASP4,PDGFRB,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,RHOB,RHOT1,SMPD4"
Heparan Sulfate Biosynthesis (Late Stages)	0.64	0.148	1.508	"CHST12,CHST4,CHST5,DTD2,EXT2,EXTL3,GLCE,NDST1,SULT1A2,SULT1A3/SULT1A4,SULT2B1,TNFAIP6"
Sphingomyelin Metabolism	0.625	0.25	#NUM!	"ENPP7,SMPD4"
ID1 Signaling Pathway	0.616	0.134	1.347	"AKT3,ATF6,AURKA,BAX,BCL3,CDC20,CDKN2A,FGR,FOXO3,FYN,HCK,MMP9,NGFR,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,REST,RRAS,S100A9,SEMA4C,SMAD5,TGFB1,TNFRSF1B,TP53"
Th2 Pathway	0.616	0.139	1.265	"APH1A,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,ICOSLG/LOC102723996,IL33,ITGB2,JUN,PIK3C3,PIK3CB,PIK3R2,PSEN1,PSEN2,STAT4,TGFB1,VAV1"
Leukotriene Biosynthesis	0.602	0.2	#NUM!	"ALOX5AP,DPEP1,LTC4S"
Iron homeostasis signaling pathway	0.599	0.138	#NUM!	"ABCB10,ATP6V0A2,ATP6V1G1,CD163,CIAO2A,CIAO2B,FLVCR1,FTL,HBG2,HMOX2,HPX,LYRM4,MMS19,PDGFRB,SLC11A2,SMAD5,TCIRG1,TF,TWSG1"
Caveolar-mediated Endocytosis Signaling	0.597	0.147	#NUM!	"ACTB,COPA,COPB1,COPZ1,FYN,HLA-A,ITGA2B,ITGB2,ITGB4,ITGB5,RAB5B"
Glutathione-mediated Detoxification	0.59	0.162	-0.816	"GSTM1,GSTM2,GSTM5,GSTO2,HPGDS,MGST1"
RANK Signaling in Osteoclasts	0.588	0.143	3.051	"AKT3,CHP1,CHUK,ELK1,FOS,JUN,MAP2K6,MAP3K6,PIK3C3,PIK3CB,PIK3R2,TRAF5,TRAF6"
Angiopoietin Signaling	0.573	0.145	0.707	"AKT3,CHUK,PAK6,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,TNIP1"
Leptin Signaling in Obesity	0.573	0.145	1.342	"ADCY3,AKT3,PDE3A,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKAR1B"
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	0.565	0.135	2.138	"C3,IL18,IL1B,IL33,IRF3,MBL2,MYD88,NLRC4,OAS2,OAS3,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,PTX3,RIPK2,TGFB1,TLR8,TRAF6"
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	0.559	0.174	1	"APOBEC3G,PCK1,RRM1,RRM2"
TCA Cycle II (Eukaryotic)	0.559	0.174	1	"CS,IDH3A,IDH3G,MDH1"
Vitamin-C Transport	0.559	0.174	#NUM!	"GSTO2,LRRC8E,SLC2A1,SLC2A3"
Docosahexaenoic Acid (DHA) Signaling	0.558	0.158	#NUM!	"AKT3,BAX,IL1B,PIK3C3,PIK3CB,PIK3R2"
NOD1/2 Signaling Pathway	0.556	0.132	2.858	"CHUK,DEFA1 (includes others),DEFA6,DUOX2,FOS,HSPA14,HSPA6,HSPA8,IL18,IL1B,IL33,IRF3,JUN,MAP2K3,MAP2K6,MAP4K4,MYD88,RBCK1,RIPK2,TAB3,TGFB1,TLR8,TRAF3,TRAF6,TRIM27"
Agrin Interactions at Neuromuscular Junction	0.554	0.145	2.121	"ACTB,ERBB2,JUN,PAK6,PKLR,RAP1A,RAP1B,RAP2A,RRAS,UTRN"
Sphingosine and Sphingosine-1-phosphate Metabolism	0.55	0.222	#NUM!	"ASAH2,SGPP1"
Salvage Pathways of Pyrimidine Deoxyribonucleotides	0.55	0.222	#NUM!	"APOBEC3G,TK1"
Gα12/13 Signaling	0.547	0.135	2.357	"AKT3,CDH19,CDH2,CDH3,CDH6,CHUK,ELK1,JUN,MYL6,MYL9,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,VAV1"
Synaptic Long Term Depression	0.544	0.131	0.6	"GNA14,GNA15,GNAS,ITPR2,ITPR3,LCAT,NOS1,PDIA3,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PLCZ1,PNPLA8,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SLC39A7"
Pancreatic Adenocarcinoma Signaling	0.529	0.135	2.887	"AKT3,CDK2,CDKN2A,E2F3,ELK1,ERBB2,HDAC5,MMP9,PIK3C3,PIK3CB,PIK3R2,PTGS2,RB1,RBL2,SIN3A,TGFB1,TP53"
NAD Signaling Pathway	0.519	0.132	2.065	"AKT3,CEBPB,CLOCK,DXO,H1-6,HMGCS2,LDHA,NMRK1,PARP10,PARP12,PARP16,PIK3C3,PIK3CB,PIK3R2,POLR2L,PRKAA2,PRKAB1,SLC7A5,TGFB1,TP53"
Ephrin A Signaling	0.517	0.149	#NUM!	"EPHA2,FYN,NGFR,PIK3C3,PIK3CB,PIK3R2,VAV1"
Dermatan Sulfate Biosynthesis (Late Stages)	0.517	0.149	0.378	"CHST12,CHST4,CHST5,NDST1,SULT1A2,SULT1A3/SULT1A4,SULT2B1"
Oxidative Phosphorylation	0.51	0.135	2.673	"ATP5F1A,ATPAF1,ATPAF2,COX11,COX15,COX7C,CYB5B,MT-CO3,MT-ND1,MT-ND2,NDUFB8,NDUFV3,UQCR11,UQCRFS1,UQCRQ"
Diphthamide Biosynthesis	0.509	0.333	#NUM!	DPH5
Guanine and Guanosine Salvage I	0.509	0.333	#NUM!	LACC1
5-aminoimidazole Ribonucleotide Biosynthesis I	0.509	0.333	#NUM!	PPAT
Coenzyme A Biosynthesis	0.509	0.333	#NUM!	PPCS
S-methyl-5'-thioadenosine Degradation II	0.509	0.333	#NUM!	LACC1
Ascorbate Recycling (Cytosolic)	0.509	0.333	#NUM!	GSTO2
Serotonin Degradation	0.509	0.141	-1.897	"ADH1B,ADH1C,ADH5,ADH6,ALDH1A1,EXT2,SULT1A2,SULT1A3/SULT1A4,UGT1A6,UGT2B17"
Methionine Salvage II (Mammalian)	0.509	0.333	#NUM!	MTR
Inosine-5'-phosphate Biosynthesis II	0.509	0.333	#NUM!	PAICS
Geranylgeranyldiphosphate Biosynthesis	0.509	0.333	#NUM!	GGPS1
Adenine and Adenosine Salvage I	0.509	0.333	#NUM!	LACC1
Corticotropin Releasing Hormone Signaling	0.503	0.132	1.807	"ADCY3,ATF2,CREB3L4,ELK1,FOS,GNAS,ITPR2,ITPR3,IVL,JUN,JUND,NOS1,PRKAR1B,PRKCE,PRKCG,PRKCI,PTGS2,RAP1A,RAP1B,SLC39A7"
TNFR2 Signaling	0.503	0.156	2.236	"CHUK,FOS,JUN,TNFRSF1B,TRAF1"
RAN Signaling	0.499	0.176	#NUM!	"KPNA1,KPNA2,KPNA3"
Dermatan Sulfate Degradation (Metazoa)	0.499	0.176	#NUM!	"CEMIP,CEMIP2,IDUA"
Macrophage Alternative Activation Signaling Pathway	0.492	0.129	2.353	"ARG1,ATF2,CEBPB,CREB3L4,FCER1G,FOS,GNB1L,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IL13RA1,IL18,IL1B,IL1R2,IL1RN,IL33,IRS2,JUN,LPL,PIK3C3,PIK3CB,PIK3R2,TGFB1,TSC22D3"
Apoptosis Signaling	0.491	0.135	0.832	"BAX,CASP2,CDK1,CHUK,LMNA,MAP4K4,MCL1,PRKCE,RAP1A,RAP1B,RAP2A,RRAS,TNFRSF1B,TP53"
Factors Promoting Cardiogenesis in Vertebrates	0.488	0.131	1.789	"ATF2,AXIN1,CREB3L4,FZD5,FZD6,FZD7,HNF1A,PDIA3,PLCB1,PLCB3,PLCZ1,PRKCE,PRKCG,PRKCI,SMAD5,TCF3,TCF7L2,TGFB1,WNT2B,WNT5A"
EIF2 Signaling	0.488	0.128	2.673	"ACTB,AGO3,AKT3,EIF1AY,EIF2B4,EIF3B,EIF3I,EIF3K,EIF4A1,EIF4A2,EIF4G1,PIK3C3,PIK3CB,PIK3R2,PPP1CC,RAP1A,RAP1B,RAP2A,RPL10,RPL22L1,RPL24,RPS10,RPS15,RPS28,RPS29,RPS3,RPS7,RRAS,SOS2"
Melatonin Signaling	0.487	0.139	0.632	"MAP2K3,MAP2K6,PDIA3,PLCB1,PLCB3,PLCZ1,PRKAR1B,PRKCE,PRKCG,PRKCI"
α-tocopherol Degradation	0.484	0.2	#NUM!	"CYP4F2,CYP4F3"
Mechanisms of Viral Exit from Host Cells	0.467	0.146	#NUM!	"ACTB,NEDD4,PDCD6IP,PRKCE,PRKCG,PRKCI"
Superpathway of Methionine Degradation	0.467	0.146	0.816	"AHCYL2,EEF1AKMT4,FTSJ1,MRM2,MTR,SUV39H2"
PXR/RXR Activation	0.465	0.138	-0.333	"AKT3,ALAS1,ALDH1A1,FOXA2,GSTM1,GSTM2,HMGCS2,PRKAR1B,SCD"
CD27 Signaling in Lymphocytes	0.465	0.14	1.134	"CD27,CHUK,FOS,JUN,MAP2K3,MAP2K6,MAP3K6,TRAF5"
Isoleucine Degradation I	0.456	0.167	#NUM!	"ACAD8,ECHDC3,SDS"
Macrophage Classical Activation Signaling Pathway	0.447	0.127	2.294	"BPI,CCL20,CHUK,CYBB,EZH2,GBP4,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IFNGR1,IL13RA1,IL18,IL1B,IL33,IRF3,MYD88,NCF2,PDHX,PKM,TGFB1,TRAF6,YY1"
Estrogen-mediated S-phase Entry	0.445	0.154	1	"CDK1,CDK2,E2F3,RB1"
MSP-RON Signaling Pathway	0.442	0.138	#NUM!	"ACTB,ITGB2,KLK1,KLK10,KLK6,PIK3C3,PIK3CB,PIK3R2"
Sucrose Degradation V (Mammalian)	0.429	0.182	#NUM!	"ALDOB,ALDOC"
IL-17A Signaling in Airway Cells	0.424	0.134	2.828	"AKT3,CCL20,CHUK,CXCL5,PIK3C3,PIK3CB,PIK3R2,TRAF3IP2,TRAF6"
γ-linolenate Biosynthesis II (Animals)	0.416	0.158	#NUM!	"ACSL1,FADS2,SLC27A6"
Coagulation System	0.413	0.143	0.447	"F13A1,PLAU,PLAUR,SERPINA1,SERPINA5"
IL-9 Signaling	0.413	0.143	1.342	"BCL3,IRS2,PIK3C3,PIK3CB,PIK3R2"
NAD Salvage Pathway II	0.413	0.148	0	"ACP1,ACP5,ACP6,NMRK1"
Fatty Acid β-oxidation I	0.413	0.143	1	"ACSL1,ECHDC3,HADH,SDS,SLC27A6"
Heme Degradation	0.409	0.25	#NUM!	HMOX2
Catecholamine Biosynthesis	0.409	0.25	#NUM!	DBH
Phenylethylamine Degradation I	0.409	0.25	#NUM!	AOC3
Oxidized GTP and dGTP Detoxification	0.409	0.25	#NUM!	DXO
Molybdenum Cofactor Biosynthesis	0.409	0.25	#NUM!	MOCS2
Gαs Signaling	0.403	0.127	1.732	"ADCY3,ATF2,CREB3L4,ELK1,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HCK,PRKAR1B,RAP1A,RAPGEF2"
MIF Regulation of Innate Immunity	0.391	0.136	0.816	"FOS,JUN,PLA2G12B,PLA2G2A,PTGS2,TP53"
Hepatic Fibrosis / Hepatic Stellate Cell Activation	0.39	0.124	#NUM!	"BAX,COL11A1,COL12A1,COL28A1,COL2A1,COL4A2,COL8A1,FLT1,IFNGR1,IGFBP5,IL1B,IL1R2,MMP1,MMP9,MYH14,MYH4,MYL6,MYL9,MYO10,NGFR,PDGFRB,TGFB1,TIMP2,TNFRSF1B"
Phospholipases	0.385	0.13	1.414	"LCAT,LPL,PDIA3,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PLCZ1,PNPLA8"
Assembly of RNA Polymerase I Complex	0.382	0.167	#NUM!	"POLR1B,POLR1E"
Glycogen Degradation II	0.382	0.167	#NUM!	"PGM5,PYGM"
GDP-glucose Biosynthesis	0.382	0.167	#NUM!	"HK3,PGM5"
Noradrenaline and Adrenaline Degradation	0.363	0.135	-2.236	"ADH1B,ADH1C,ADH5,ADH6,ALDH1A1"
Glutathione Redox Reactions I	0.356	0.138	0	"CLIC2,GSTM1,GSTM2,MGST1"
Transcriptional Regulatory Network in Embryonic Stem Cells	0.355	0.13	#NUM!	"CDX2,CDYL,GATA6,REST,RIF1,SMARCAD1,TRIM24"
Growth Hormone Signaling	0.351	0.127	2.333	"ELK1,FOS,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RPS6KB2"
Apelin Pancreas Signaling Pathway	0.347	0.13	1.633	"PIK3C3,PIK3CB,PIK3R2,PRKAA2,PRKAB1,PRKAR1B"
eNOS Signaling	0.344	0.122	0.535	"ADCY3,AKT3,AQP8,FLT1,GNAS,HSPA14,HSPA6,HSPA8,ITPR2,ITPR3,PIK3C3,PIK3CB,PIK3R2,PRKAA2,PRKAB1,PRKAR1B,PRKCE,PRKCG,PRKCI"
Dopamine Receptor Signaling	0.341	0.125	#NUM!	"ADCY3,PPM1L,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1B,PRKAR1B"
Oleate Biosynthesis II (Animals)	0.34	0.154	#NUM!	"FADS2,SCD"
Mineralocorticoid Biosynthesis	0.34	0.154	#NUM!	"EBP,HSD3B7"
UDP-N-acetyl-D-galactosamine Biosynthesis II	0.34	0.154	#NUM!	"GALE,HK3"
Notch Signaling	0.339	0.132	1	"APH1A,CNTN1,PSEN1,PSEN2,RBPJ"
Arsenate Detoxification I (Glutaredoxin)	0.336	0.2	#NUM!	LACC1
Superpathway of Serine and Glycine Biosynthesis I	0.336	0.2	#NUM!	SHMT2
"Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate"	0.336	0.2	#NUM!	MTHFD2
Tetrapyrrole Biosynthesis II	0.336	0.2	#NUM!	ALAS1
Lysine Degradation II	0.336	0.2	#NUM!	AADAT
Glutathione Redox Reactions II	0.336	0.2	#NUM!	PDIA3
Lysine Degradation V	0.336	0.2	#NUM!	AADAT
"Trans, trans-farnesyl Diphosphate Biosynthesis"	0.336	0.2	#NUM!	GGPS1
Citrulline-Nitric Oxide Cycle	0.336	0.2	#NUM!	NOS1
Galactose Degradation I (Leloir Pathway)	0.336	0.2	#NUM!	GALE
Acetate Conversion to Acetyl-CoA	0.336	0.2	#NUM!	ACSL1
Hepatic Cholestasis	0.333	0.12	#NUM!	"ADCY3,CHUK,CYP7B1,FABP6,GCG,HNF1A,HSD3B7,IL18,IL1B,IL1R2,IL1RN,IL33,JUN,MAP4K2,MYD88,NGFR,PRKAR1B,PRKCE,PRKCG,PRKCI,TGFB1,TNFRSF1B,TRAF6"
Role of IL-17F in Allergic Inflammatory Airway Diseases	0.327	0.128	2.449	"ATF2,CREB3L4,CXCL5,IL1B,TRAF3IP2,TRAF6"
iNOS Signaling	0.327	0.128	2.449	"CHUK,FOS,IFNGR1,JUN,MYD88,TRAF6"
nNOS Signaling in Neurons	0.327	0.128	#NUM!	"CHP1,NOS1,NOS1AP,PRKCE,PRKCG,PRKCI"
BMP signaling pathway	0.305	0.121	1	"ATF2,JUN,MAGED1,PITX2,PRKAR1B,RAP1A,RAP1B,RAP2A,RRAS,SMAD5,SMURF1"
DNA Double-Strand Break Repair by Homologous Recombination	0.304	0.143	#NUM!	"GEN1,POLA1"
DNA Double-Strand Break Repair by Non-Homologous End Joining	0.304	0.143	#NUM!	"LIG4,XRCC1"
Glycogen Degradation III	0.304	0.143	#NUM!	"PGM5,PYGM"
Urate Biosynthesis/Inosine 5'-phosphate Degradation	0.304	0.143	#NUM!	"IMPDH1,LACC1"
Glucocorticoid Biosynthesis	0.304	0.143	#NUM!	"EBP,HSD3B7"
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	0.297	0.125	-0.447	"EXT2,SULT1A2,SULT1A3/SULT1A4,UGT1A6,UGT2B17"
Glutamate Receptor Signaling	0.294	0.121	#NUM!	"GNB1,GNB1L,GNB3,GNG11,GNG4,HOMER1,HOMER2,SLC38A1"
Apelin Adipocyte Signaling Pathway	0.292	0.12	-0.905	"ADCY3,CLIC2,CYBB,GSTM1,GSTM2,MGST1,NCF2,PLIN1,PRKAA2,PRKAB1,PRKAR1B"
Granzyme A Signaling	0.289	0.12	-1.667	"H1-6,IL1B,MBP,MT-ND1,MT-ND2,MT-ND6,NDUFAF1,NDUFB8,NDUFV3"
Pyruvate Fermentation to Lactate	0.281	0.167	#NUM!	LDHA
Pentose Phosphate Pathway (Non-oxidative Branch)	0.281	0.167	#NUM!	TKTL1
Glycerol Degradation I	0.281	0.167	#NUM!	GK
UDP-N-acetyl-D-glucosamine Biosynthesis II	0.281	0.167	#NUM!	FMO3
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	0.281	0.167	#NUM!	IDO1
GDP-mannose Biosynthesis	0.281	0.167	#NUM!	MPI
Pyrimidine Ribonucleotides De Novo Biosynthesis	0.278	0.122	1.342	"CAD,CTPS1,ENTPD6,PCK1,UMPS"
Telomere Extension by Telomerase	0.272	0.133	#NUM!	"PINX1,TERF1"
Fatty Acid Activation	0.272	0.133	#NUM!	"ACSL1,SLC27A6"
Tumoricidal Function of Hepatic Natural Killer Cells	0.267	0.125	#NUM!	"BAX,LYVE1,SRGN"
Intrinsic Prothrombin Activation Pathway	0.26	0.119	-0.447	"COL2A1,F13A1,KLK1,KLK10,KLK6"
Retinoate Biosynthesis I	0.26	0.119	#NUM!	"ADH1B,ADH1C,AKR1C1/AKR1C2,ALDH1A1,SDR16C5"
TNFR1 Signaling	0.256	0.118	2.449	"CASP2,CHUK,FOS,JUN,MAP4K2,PAK6"
Retinoic acid Mediated Apoptosis Signaling	0.254	0.117	2.449	"CRABP1,PARP10,PARP12,PARP16,TNFRSF10A,TNFRSF10B,TNFRSF10C"
4-1BB Signaling in T Lymphocytes	0.244	0.118	2	"ATF2,CHUK,JUN,TRAF1"
Chondroitin Sulfate Degradation (Metazoa)	0.243	0.125	#NUM!	"CEMIP,CEMIP2"
Parkinson's Signaling	0.243	0.125	#NUM!	"PRKN,UCHL1"
Trehalose Degradation II (Trehalase)	0.237	0.143	#NUM!	HK3
Ceramide Biosynthesis	0.237	0.143	#NUM!	SPTLC2
Phosphatidylcholine Biosynthesis I	0.237	0.143	#NUM!	PHKA1
NAD Salvage Pathway III	0.237	0.143	#NUM!	NMRK1
Adenine and Adenosine Salvage III	0.237	0.143	#NUM!	LACC1
Ceramide Degradation	0.237	0.143	#NUM!	ASAH2
Aspartate Degradation II	0.237	0.143	#NUM!	MDH1
"D-myo-inositol (1,3,4)-trisphosphate Biosynthesis"	0.218	0.118	#NUM!	"INPP5B,MINPP1"
Histidine Degradation III	0.202	0.125	#NUM!	MTHFD2
Superoxide Radicals Degradation	0.202	0.125	#NUM!	NQO1
Neurovascular Coupling Signaling Pathway	0	0.0819	-0.229	"ENTPD6,ITPR2,ITPR3,KCNMA1,KCNN4,LCAT,MAPT,MPRIP,NOS1,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PNPLA8,PPP1R12A,PPP1R12B,PRKAR1B,PTGS2,SLC39A7"
Oxytocin In Spinal Neurons Signaling Pathway	0	0.0857	#NUM!	"NOS1,PLCB3,SLC39A7"
S100 Family Signaling Pathway	0	0.0997	4.9	"ADGRA1,ADGRE3,ADGRF5,ADGRG3,ADGRL3,AKT3,ATF2,ATP5F1A,BCL3,CACYBP,CCL20,CCR10,CHUK,CREB3L4,CYBB,DEFA1 (includes others),DEFA6,ERBB2,FCGR3A/FCGR3B,FOS,FZD5,FZD6,FZD7,GPR180,GPR89A/GPR89B,GPRC5C,HNF1A,IL18,IL1B,IRF3,ITPR2,ITPR3,JUN,LGR4,LTB4R,MAP2K3,MAP2K6,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,MYD88,NCF2,OCLN,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PLCZ1,PRKAR1B,PRKCE,PRKCG,PRKCI,S100A12,S100A2,S100A8,S100A9,S100B,S100P,SLC52A2,SMAD5,TCF3,TCF7L2,TGFB1,TP53,TPM1,TPM2,TRAF3,TRAF6,WNT2B,WNT5A"
Amyotrophic Lateral Sclerosis Signaling	0	0.069	1.89	"AKT3,BAX,NOS1,PIK3C3,PIK3CB,PIK3R2,RAB5B,TP53"
Chaperone Mediated Autophagy Signaling Pathway	0	0.0715	-2.359	"ATP6V0A2,ATP6V1G1,CHEK1,CHP1,CHUK,CIP2A,EIF4A1,FCER1G,HNF1A,HSPA14,HSPA6,HSPA8,IL18,IL1B,KLK6,LRRK2,MAPKAP1,MAPT,MCL1,MMP1,MMP10,MMP3,MMP7,MMP8,MMP9,NCOR1,NCOR2,PIK3C3,PIK3CB,PIK3R2,PLIN2,PRKAA2,PRKAB1,PRR5L,PSMA3,PSMA6,PSMB1,PSMB5,PSMB9,PSME2,RICTOR,STING1,TCIRG1,TP53,TPD52,UCHL1"
Activation of IRF by Cytosolic Pattern Recognition Receptors	0	0.108	0.378	"ADAR,ATF2,CHUK,IRF3,JUN,TRAF3,TRAF6"
Role of RIG1-like Receptors in Antiviral Innate Immunity	0	0.087	0	"CHUK,IRF3,TRAF3,TRAF6"
TREM1 Signaling	0	0.104	2.121	"AKT3,IL18,IL1B,MPO,MYD88,NLRC4,TLR8,TYROBP"
Role of NFAT in Regulation of the Immune Response	0	0.0627	4.017	"AKT3,ATF2,CHP1,CHUK,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,FCER1G,FCGR3A/FCGR3B,FOS,FYN,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,ITPR2,ITPR3,JUN,KPNA1,KPNA2,KPNA3,NFATC3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
FcγRIIB Signaling in B Lymphocytes	0	0.0582	1.89	"IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,ITPR2,ITPR3,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS"
CCR5 Signaling in Macrophages	0	0.0321	0.816	"FCER1G,FOS,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,JUN,PRKCE,PRKCG,PRKCI"
IL-22 Signaling	0	0.0417	#NUM!	AKT3
Calcium-induced T Lymphocyte Apoptosis	0	0.0283	2.333	"CHP1,FCER1G,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,ITPR2,ITPR3,PRKCE,PRKCG,PRKCI"
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	0	0.00471	#NUM!	"FCER1G,HLA-A"
Airway Pathology in Chronic Obstructive Pulmonary Disease	0	0.11	#NUM!	"CCL20,ELANE,IL18,IL1B,IL33,LCN2,MMP1,MMP8,MMP9,MPO,ORM1,PRTN3,TGFB1"
CTLA4 Signaling in Cytotoxic T Lymphocytes	0	0.0592	-0.507	"AKT3,AP1M1,AP1S1,AP1S2,AP1S3,CD8A,FCER1G,FGR,FOS,FYB1,FYN,HCK,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IDO1,ITGB2,JUN,MALT1,NFATC3,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,RAP1A,RAP1B,RAP2A,RRAS,TGFB1,VAV1"
Induction of Apoptosis by HIV1	0	0.108	1.89	"BAX,CHUK,DAXX,NGFR,TNFRSF1B,TP53,TRAF1"
IL-15 Production	0	0.114	1.069	"AXL,EPHA2,ERBB2,FGR,FLT1,FYN,HCK,IRF3,KIT,MAP2K3,MAP2K6,PDGFRB,PRKCI,ROR2"
T Helper Cell Differentiation	0	0.034	#NUM!	"FCER1G,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,ICOSLG/LOC102723996,IFNGR1,IL18,IL23R,IL6ST,NGFR,STAT4,TGFB1,TNFRSF1B"
CD28 Signaling in T Helper Cells	0	0.0406	3.742	"AKT3,CHP1,CHUK,FCER1G,FOS,FYN,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,ITPR2,ITPR3,JUN,MALT1,NFATC3,PIK3C3,PIK3CB,PIK3R2,VAV1"
