	Comparison	Taxa	Method	Group	LDA	P.unadj	P.adj	Significance
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_Parabacteroides merdae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_Parabacteroides merdae	LEfSe	2	3.674750341	1.42E-06	1.42E-06	***
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae	LEfSe	3	3.668849007	9.81E-08	9.81E-08	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Acidovorax	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Acidovorax	LEfSe	1	3.667323759	0.023390112	0.023390112	*
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes onderdonkii	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Rikenellaceae|g_Alistipes|s_Alistipes onderdonkii	LEfSe	2	3.658412251	7.02E-07	7.02E-07	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Dorea	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Dorea	LEfSe	3	3.655500722	0.000296423	0.000296423	***
d_Bacteria|p_Verrucomicrobia|c_Verrucomicrobiae|o_Verrucomicrobiales|f_Akkermansiaceae|g_Akkermansia	1 - 2 - 3 - 4	d_Bacteria|p_Verrucomicrobia|c_Verrucomicrobiae|o_Verrucomicrobiales|f_Akkermansiaceae|g_Akkermansia	LEfSe	3	3.645791151	4.18E-07	4.18E-07	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Dorea|s_Dorea longicatena	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Dorea|s_Dorea longicatena	LEfSe	3	3.64499854	0.000384054	0.000384054	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides caccae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides caccae	LEfSe	2	3.638289908	1.14E-05	1.14E-05	***
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanobrevibacter_A|s_Methanobrevibacter_A smithii	1 - 2 - 3 - 4	d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanobrevibacter_A|s_Methanobrevibacter_A smithii	LEfSe	3	3.630390352	1.06E-06	1.06E-06	***
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Eggerthella	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Eggerthella	LEfSe	3	3.61836889	1.54E-06	1.54E-06	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae	LEfSe	3	3.614298032	2.83E-08	2.83E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Enterococcus avium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Enterococcus avium	LEfSe	3	3.613419941	0.002602335	0.002602335	**
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas	LEfSe	3	3.606540571	2.84E-08	2.84E-08	***
d_Bacteria|p_Verrucomicrobia|c_Verrucomicrobiae|o_Verrucomicrobiales|f_Akkermansiaceae	1 - 2 - 3 - 4	d_Bacteria|p_Verrucomicrobia|c_Verrucomicrobiae|o_Verrucomicrobiales|f_Akkermansiaceae	LEfSe	3	3.6041778	4.45E-07	4.45E-07	***
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Eggerthella|s_Eggerthella lenta	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Eggerthella|s_Eggerthella lenta	LEfSe	3	3.602572127	8.61E-07	8.61E-07	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Mobiluncus	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Mobiluncus	LEfSe	1	3.59036999	5.38E-06	5.38E-06	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae	LEfSe	1	3.587241474	0.004569106	0.004569106	**
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium breve	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium breve	LEfSe	3	3.584448667	8.93E-08	8.93E-08	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Lachnoclostridium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Lachnoclostridium	LEfSe	3	3.581134791	2.22E-08	2.22E-08	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Rhodobacteraceae|g_Paracoccus|s_Paracoccus pantotrophus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Rhodobacteraceae|g_Paracoccus|s_Paracoccus pantotrophus	LEfSe	1	3.579191658	0.002587526	0.002587526	**
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Salmonella|s_Salmonella enterica	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Salmonella|s_Salmonella enterica	LEfSe	4	3.577270878	6.09E-05	6.09E-05	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Flavonifractor	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Flavonifractor	LEfSe	2	3.562834584	1.74E-11	1.74E-11	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Flavonifractor|s_Flavonifractor plautii	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Flavonifractor|s_Flavonifractor plautii	LEfSe	2	3.557743771	2.34E-11	2.34E-11	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides salyersiae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides salyersiae	LEfSe	2	3.554604485	9.58E-08	9.58E-08	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Clostridiaceae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Clostridiaceae	LEfSe	2	3.540875683	0.000508685	0.000508685	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides stercoris	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides stercoris	LEfSe	2	3.524175124	3.21E-07	3.21E-07	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Clostridiaceae|g_Clostridium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Clostridiaceae|g_Clostridium	LEfSe	1	3.514169708	0.000504338	0.000504338	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Citrobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Citrobacter	LEfSe	4	3.510699387	0.000442795	0.000442795	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Ruminococcus|s_Ruminococcus bicirculans	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Ruminococcus|s_Ruminococcus bicirculans	LEfSe	3	3.504523548	1.78E-09	1.78E-09	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Ruminococcus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Ruminococcus	LEfSe	3	3.49599229	1.42E-11	1.42E-11	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Anaerobutyricum	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Anaerobutyricum	LEfSe	3	3.482559045	1.79E-07	1.79E-07	***
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae	LEfSe	2	3.480747377	0.012785818	0.012785818	*
d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium pseudoperiodonticum	1 - 2 - 3 - 4	d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium pseudoperiodonticum	LEfSe	2	3.478231175	0.000648383	0.000648383	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Anaerobutyricum|s_Anaerobutyricum hallii	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Anaerobutyricum|s_Anaerobutyricum hallii	LEfSe	3	3.472693608	2.38E-07	2.38E-07	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter baumannii	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter baumannii	LEfSe	3	3.471236321	0.01778684	0.01778684	*
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Mobiluncus|s_Mobiluncus curtisii	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Mobiluncus|s_Mobiluncus curtisii	LEfSe	1	3.469661691	5.38E-06	5.38E-06	***
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Acidaminococcales|f_Acidaminococcaceae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Acidaminococcales|f_Acidaminococcaceae	LEfSe	2	3.468910714	6.93E-05	6.93E-05	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Salmonella	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Salmonella	LEfSe	4	3.466265195	0.000732002	0.000732002	***
d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Faecalibacillus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Faecalibacillus	LEfSe	3	3.455997718	1.14E-05	1.14E-05	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Comamonas|s_Comamonas kerstersii	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Comamonas|s_Comamonas kerstersii	LEfSe	3	3.452297694	5.03E-05	5.03E-05	***
d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Faecalibacillus|s_Faecalibacillus intestinalis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Faecalibacillus|s_Faecalibacillus intestinalis	LEfSe	3	3.451994126	1.22E-05	1.22E-05	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Blautia|s_Blautia sp. SC05B48	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Blautia|s_Blautia sp. SC05B48	LEfSe	3	3.451491175	3.08E-10	3.08E-10	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus intermedius	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus intermedius	LEfSe	3	3.448864438	2.05E-05	2.05E-05	***
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae	LEfSe	2	3.428515355	1.80E-06	1.80E-06	***
d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelatoclostridium|s_[Clostridium] innocuum	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Erysipelatoclostridium|s_[Clostridium] innocuum	LEfSe	3	3.419362894	0.000486553	0.000486553	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus constellatus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus constellatus	LEfSe	3	3.418139087	0.000144933	0.000144933	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Roseburia|s_Roseburia intestinalis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Roseburia|s_Roseburia intestinalis	LEfSe	2	3.415974102	1.42E-08	1.42E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus anginosus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus anginosus	LEfSe	3	3.409928754	0.028713813	0.028713813	*
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Blautia|s_Blautia obeum	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Blautia|s_Blautia obeum	LEfSe	3	3.409777736	4.25E-08	4.25E-08	***
d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae	LEfSe	3	3.406346982	0.006139898	0.006139898	**
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Vescimonas	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Vescimonas	LEfSe	3	3.40448812	1.05E-10	1.05E-10	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Coprococcus|s_Coprococcus catus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Coprococcus|s_Coprococcus catus	LEfSe	3	3.401355923	1.80E-07	1.80E-07	***
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Acidaminococcales|f_Acidaminococcaceae|g_Phascolarctobacterium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Acidaminococcales|f_Acidaminococcaceae|g_Phascolarctobacterium	LEfSe	2	3.395055905	0.00011273	0.00011273	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Nocardioidaceae	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Nocardioidaceae	LEfSe	1	3.394081359	0.003976135	0.003976135	**
d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter	LEfSe	3	3.380904217	0.006399089	0.006399089	**
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Megamonas|s_Megamonas funiformis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Megamonas|s_Megamonas funiformis	LEfSe	2	3.376896818	4.47E-05	4.47E-05	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Odoribacteraceae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Odoribacteraceae	LEfSe	2	3.37274669	1.73E-07	1.73E-07	***
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Acidaminococcales|f_Acidaminococcaceae|g_Phascolarctobacterium|s_Phascolarctobacterium faecium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Acidaminococcales|f_Acidaminococcaceae|g_Phascolarctobacterium|s_Phascolarctobacterium faecium	LEfSe	2	3.363321609	0.001187783	0.001187783	**
d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Arcobacteraceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Arcobacteraceae	LEfSe	1	3.363144127	3.87E-05	3.87E-05	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_Porphyromonas asaccharolytica	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_Porphyromonas asaccharolytica	LEfSe	3	3.362838359	7.81E-06	7.81E-06	***
d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Arcobacteraceae|g_Halarcobacter|s_Halarcobacter bivalviorum	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Arcobacteraceae|g_Halarcobacter|s_Halarcobacter bivalviorum	LEfSe	1	3.354438942	0.000125596	0.000125596	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Vescimonas|s_Vescimonas coprocola	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Vescimonas|s_Vescimonas coprocola	LEfSe	3	3.352214484	1.43E-11	1.43E-11	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Nocardioidaceae|g_Nocardioides	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Propionibacteriales|f_Nocardioidaceae|g_Nocardioides	LEfSe	1	3.351904776	0.00149619	0.00149619	**
d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Megamonas	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Megamonas	LEfSe	2	3.350091316	1.35E-05	1.35E-05	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Lachnoclostridium|s_[Clostridium] scindens	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Lachnoclostridium|s_[Clostridium] scindens	LEfSe	3	3.348789788	3.14E-07	3.14E-07	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Citrobacter|s_Citrobacter freundii	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Citrobacter|s_Citrobacter freundii	LEfSe	4	3.337115647	1.42E-06	1.42E-06	***
d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Arcobacteraceae|g_Halarcobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Campylobacterales|f_Arcobacteraceae|g_Halarcobacter	LEfSe	1	3.333647911	8.69E-05	8.69E-05	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Ruthenibacterium|s_Ruthenibacterium lactatiformans	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Ruthenibacterium|s_Ruthenibacterium lactatiformans	LEfSe	2	3.329913297	8.39E-08	8.39E-08	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Eubacteriales Family XIII. Incertae Sedis|g_Mogibacterium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Eubacteriales Family XIII. Incertae Sedis|g_Mogibacterium	LEfSe	3	3.318863577	5.14E-08	5.14E-08	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella nigrescens	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella nigrescens	LEfSe	3	3.318780597	4.85E-08	4.85E-08	***
d_Viruses|p_Uroviricota|c_Caudoviricetes|o_Caudovirales|f_Podoviridae	1 - 2 - 3 - 4	d_Viruses|p_Uroviricota|c_Caudoviricetes|o_Caudovirales|f_Podoviridae	LEfSe	2	3.312504482	4.31E-07	4.31E-07	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Ruthenibacterium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Oscillospiraceae|g_Ruthenibacterium	LEfSe	2	3.306346397	7.29E-08	7.29E-08	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Phocaeicola|s_Phocaeicola coprophilus	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Phocaeicola|s_Phocaeicola coprophilus	LEfSe	2	3.304486456	1.06E-07	1.06E-07	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Roseburia|s_Roseburia hominis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Roseburia|s_Roseburia hominis	LEfSe	3	3.300426885	6.76E-12	6.76E-12	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Diaphorobacter|s_Diaphorobacter sp. MNS-0	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Diaphorobacter|s_Diaphorobacter sp. MNS-0	LEfSe	3	3.298166932	0.007170598	0.007170598	**
d_Viruses|p_Uroviricota|c_Caudoviricetes|o_Caudovirales|f_Podoviridae|g_NA|s_uncultured crAssphage	1 - 2 - 3 - 4	d_Viruses|p_Uroviricota|c_Caudoviricetes|o_Caudovirales|f_Podoviridae|g_NA|s_uncultured crAssphage	LEfSe	1	3.298159795	0.000178503	0.000178503	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Anaerostipes	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Anaerostipes	LEfSe	3	3.281400507	6.61E-07	6.61E-07	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia	LEfSe	2	3.269999331	0.000155176	0.000155176	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Enterobacter|s_Enterobacter cancerogenus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Enterobacter|s_Enterobacter cancerogenus	LEfSe	1	3.268474144	6.33E-07	6.33E-07	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Blautia|s_Blautia massiliensis	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Blautia|s_Blautia massiliensis	LEfSe	3	3.25498122	4.96E-13	4.96E-13	***
